asm_path,asm_name,n_macro,n_update,n_forall,n_branch,n_rule,approach,status,exec_time_ms,n_scenarios,n_step,n_set,n_check,macro_coverage,update_rule_coverage,forall_rule_coverage,branch_coverage,rule_coverage,n_failing_scenarios,n_val_error_scenarios,casemutator_score,chooserulemutator_score,condnegator_score,condremover_score,forallmutator_score,partoseqmutator_score,seqtoparmutator_score,ruleremover_score
../../../asm_examples/examples/traffic_light/Timer/oneWayTrafficLight_refinedMillisecSec.asm,oneWayTrafficLight_refinedMillisecSec,8,9,1,11,44,random,NO_VALID_SCENARIOS,13.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/simple_example/euclideMCD_init.asm,euclideMCD_init,1,2,0,2,4,random,OK,4.0,10,100,20,220,1.0,1.0,NaN,0.75,1.0,0,0,NaN,NaN,1.0,0.6666667,NaN,NaN,NaN,1.0
../../../asm_examples/systemc/counterAG/main_user.asm,main_user,1,0,0,0,1,random,NO_VALID_SCENARIOS,32.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/unibgstudents/VideotecaASM.asm,VideotecaASM,8,24,0,20,66,random,NO_VALID_SCENARIOS,16.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/hemodialysisDevice/ABZ2016/Hemodialysis_ref1_forMC.asm,Hemodialysis_ref1_forMC,58,59,0,70,196,random,OK,17.0,10,100,46,292,0.25862068,0.15254237,NaN,0.27857143,0.27040815,0,0,NaN,NaN,0.21428572,0.19444445,NaN,0.15384616,NaN,0.1897436
../../../asm_examples/examples/sluicegate/Timer/sluiceGateGround.asm,sluiceGateGround,1,2,0,2,9,random,NO_VALID_SCENARIOS,34.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/erinda/FMS_IO_3.asm,FMS_IO_3,5,46,0,4,59,random,NO_VALID_SCENARIOS,824.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/sluicegate/sluiceGateMotorCtl.asm,sluiceGateMotorCtl,4,9,0,8,28,random,OK,7.0,10,100,70,282,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,1.0,1.0,NaN,0.14285715,NaN,1.0
../../../asm_examples/examples/fsmsemantics/meta_hooking/FSM.asm,FSM,3,2,1,2,8,random,MUTATION_ERR,0.0,10,100,0,0,0.33333334,0.0,0.33333334,0.25,0.125,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/petriNets/forModelAdvisor/petriNet_forModelAdvisor_InconsUpdateViolation2.asm,petriNet_forModelAdvisor_InconsUpdateViolation2,2,2,2,3,7,random,NO_VALID_SCENARIOS,10.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
